ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2024-10-10 10:20:24 122m





Relative time;Ch1
s;V
-0.0001;0
-9.999E-5;-0.0010016277
-9.998E-5;-0.0045073244
-9.997E-5;0.0015024415
-9.996E-5;-0.0015024415
-9.995E-5;0.0050081383
-9.994E-5;0.0040065106
-9.993E-5;0.0010016277
-9.992E-5;-0.0025040691
-9.991E-5;0.003004883
-9.99E-5;-0.0025040691
-9.989E-5;-0.003004883
-9.988E-5;0.003004883
-9.987E-5;-0.0035056968
-9.986E-5;0.0050081383
-9.985E-5;0.0010016277
-9.984E-5;0.0040065106
-9.983E-5;-0.0050081383
-9.982E-5;-0.014022787
-9.981E-5;0.003004883
-9.98E-5;-0.0015024415
-9.979E-5;-0.01051709
-9.978E-5;0.0015024415
-9.977E-5;0.0025040691
-9.976E-5;-0.0080130212
-9.975E-5;-0.003004883
-9.974E-5;0.0040065106
-9.973E-5;-0.0020032553
-9.972E-5;-0.0065105797
-9.971E-5;0.0010016277
-9.97E-5;0.0020032553
-9.969E-5;0.0060097659
-9.968E-5;0.0020032553
-9.967E-5;-0.0010016277
-9.966E-5;-0.0080130212
-9.965E-5;-0.0050081383
-9.964E-5;0.0035056968
-9.963E-5;-0.0075122074
-9.962E-5;-0.0025040691
-9.961E-5;0.0055089521
-9.96E-5;-0.0015024415
-9.959E-5;-0.0045073244
-9.958E-5;-0.0010016277
-9.957E-5;0.0020032553
-9.956E-5;0.003004883
-9.955E-5;-0.0020032553
-9.954E-5;0.0055089521
-9.953E-5;0.0025040691
-9.952E-5;0.0020032553
-9.951E-5;0.0035056968
-9.95E-5;-0.00050081383
-9.949E-5;-0.0040065106
-9.948E-5;0.0010016277
-9.947E-5;0.00050081383
-9.946E-5;-0.0010016277
-9.945E-5;0
-9.944E-5;-0.0060097659
-9.943E-5;0.00050081383
-9.942E-5;0.0010016277
-9.941E-5;0.00050081383
-9.94E-5;0
-9.939E-5;-0.0010016277
-9.938E-5;-0.00050081383
-9.937E-5;0.0015024415
-9.936E-5;0.0010016277
-9.935E-5;0.0045073244
-9.934E-5;-0.003004883
-9.933E-5;0.0010016277
-9.932E-5;-0.0010016277
-9.931E-5;0.0050081383
-9.93E-5;0.0025040691
-9.929E-5;0
-9.928E-5;-0.0035056968
-9.927E-5;0.0025040691
-9.926E-5;0.0020032553
-9.925E-5;-0.0020032553
-9.924E-5;-0.0045073244
-9.923E-5;-0.0010016277
-9.922E-5;0.00050081383
-9.921E-5;-0.003004883
-9.92E-5;0.0015024415
-9.919E-5;-0.0020032553
-9.918E-5;-0.00050081383
-9.917E-5;-0.0015024415
-9.916E-5;0.0015024415
-9.915E-5;0.0010016277
-9.914E-5;-0.0015024415
-9.913E-5;0.0010016277
-9.912E-5;0.0070113936
-9.911E-5;0.0025040691
-9.91E-5;0
-9.909E-5;-0.0050081383
-9.908E-5;0.008513835
-9.907E-5;-0.0010016277
-9.906E-5;-0.0025040691
-9.905E-5;0.00050081383
-9.904E-5;-0.0025040691
-9.903E-5;-0.0055089521
-9.902E-5;-0.0020032553
